#id	gene	chrom	chromStart	chromEnd	strand
cg11250058	RAPH1	chr2	203535646	203535648	-
cg02099418	CD28	chr2	203706422	203706424	+
cg04098585	CD28	chr2	203706491	203706493	-
cg08460026	CTLA4	chr2	203867750	203867752	+
cg15344028	ICOS	chr2	203936786	203936788	-
cg22367989	NRP2	chr2	205681935	205681937	+
cg18371506	NRP2	chr2	205682512	205682514	-
cg24330485	EEF1B2,NDUFS1	chr2	206159258	206159260	-
cg06707338	AC007383.3,EEF1B2;NDUFS1	chr2	206159727	206159729	-
cg06868758	AC007383.3,EEF1B2;NDUFS1;SNORD51;snoZ196	chr2	206160666	206160668	-
cg27248887	AC007383.3,EEF1B2;NDUFS1;SNORD51;snoZ196	chr2	206160692	206160694	-
cg19132372	GPR1,GPR1-AS	chr2	206214427	206214429	-
cg26258845	ADAM23	chr2	206443362	206443364	-
cg16778809	ADAM23	chr2	206443650	206443652	+
cg11065518	FASTKD2,MDH1B	chr2	206765538	206765540	+
cg06194186	CPO	chr2	206938968	206938970	-
cg03731898	CPO	chr2	206939356	206939358	-
cg03770147	KLF7,MIR7845;MYOSLID	chr2	207165111	207165113	+
cg08478189	KLF7,MIR7845;MYOSLID	chr2	207165941	207165943	+
cg10723020	AC009226.1,CREB1	chr2	207529104	207529106	-
cg18579327	AC009226.1,CREB1	chr2	207530832	207530834	+
cg07496861	METTL21A	chr2	207624942	207624944	+
cg13277160	METTL21A	chr2	207625862	207625864	-
cg22670349	CCNYL1	chr2	207711472	207711474	+
cg14951734	CCNYL1	chr2	207711554	207711556	-
cg26129270	FZD5	chr2	207770208	207770210	-
cg25356886	CRYGD	chr2	208124242	208124244	+
cg12073779	CRYGD	chr2	208124744	208124746	-
cg23144899	CRYGC	chr2	208129648	208129650	-
cg05619712	CRYGC	chr2	208129995	208129997	-
cg13384498	CRYGB	chr2	208145904	208145906	+
cg00823148	CRYGB	chr2	208147570	208147572	+
cg17055734	CRYGA	chr2	208163334	208163336	+
cg22386774	CRYGA	chr2	208164965	208164967	+
cg24324379	IDH1,IDH1-AS1	chr2	208255025	208255027	-
cg07915542	IDH1,IDH1-AS1	chr2	208255583	208255585	-
cg01046174	IDH1,PIKFYVE	chr2	208265975	208265977	+
cg02241586	IDH1,PIKFYVE	chr2	208266783	208266785	-
cg25057743	PTH2R	chr2	208406779	208406781	-
cg10562586	MAP2	chr2	209579429	209579431	+
cg22037121	UNC80	chr2	209770893	209770895	-
cg14419187	UNC80	chr2	209772369	209772371	-
cg05306006	RPE	chr2	210002402	210002404	-
cg19203504	RPE	chr2	210002686	210002688	+
cg14795968	AC006994.1,ACADL	chr2	210225090	210225092	-
cg09068528	AC006994.1,ACADL	chr2	210225446	210225448	-
cg11059341	MYL1	chr2	210314835	210314837	+
cg12339029	MYL1	chr2	210315177	210315179	-
cg21119032	CPS1,LANCL1	chr2	210476590	210476592	-
cg07063745	CPS1,LANCL1	chr2	210476847	210476849	-
cg21165909	CPS1	chr2	210555213	210555215	+
cg07015629	ERBB4	chr2	212538487	212538489	-
cg20637307	ERBB4	chr2	212539235	212539237	-
cg11735605	AC079610.1,IKZF2	chr2	213151505	213151507	+
cg07900766	SPAG16,SPAG16-DT	chr2	213284247	213284249	+
cg24664861	SPAG16,SPAG16-DT	chr2	213284475	213284477	+
cg12091944	BARD1,SNHG31	chr2	214810380	214810382	-
cg08803144	AC092844.1,ATIC	chr2	215311826	215311828	+
cg01280080	ATIC	chr2	215312552	215312554	+
cg10692870	AC012462.3,FN1	chr2	215435544	215435546	+
cg22511947	AC012462.3,FN1	chr2	215436834	215436836	+
cg12620499	MREG,PECR	chr2	216013260	216013262	-
cg02668581	MREG,PECR	chr2	216013616	216013618	-
cg06250108	PECR,TMEM169	chr2	216081674	216081676	-
cg21803680	PECR,TMEM169	chr2	216082121	216082123	-
cg21404906	XRCC5	chr2	216109115	216109117	+
cg16579354	XRCC5	chr2	216109613	216109615	-
cg15830940	SMARCAL1,SMARCAL1-AS1	chr2	216413345	216413347	+
cg12591323	SMARCAL1,SMARCAL1-AS1	chr2	216413885	216413887	-
cg27140880	RPL37A,RPL37A-DT	chr2	216498680	216498682	-
cg23631636	RPL37A,RPL37A-DT	chr2	216498896	216498898	+
cg25854162	IGFBP2	chr2	216632893	216632895	-
cg26187237	IGFBP2	chr2	216633850	216633852	-
cg22467567	AC007563.2,IGFBP5	chr2	216695161	216695163	+
cg19008649	AC007563.2,IGFBP5	chr2	216695568	216695570	-
cg10376763	AC007563.2,LINC01921;TNP1	chr2	216859639	216859641	+
cg13980719	AC007563.2,LINC01921;TNP1	chr2	216860836	216860838	-
cg18328334	TNS1	chr2	217943928	217943930	+
cg18752854	TNS1	chr2	217944530	217944532	+
cg13739417	CXCR2	chr2	218125903	218125905	-
cg14150666	CXCR2	chr2	218126586	218126588	-
cg13519373	CXCR1	chr2	218166174	218166176	+
cg21004129	CXCR1	chr2	218167300	218167302	-
cg08216808	ARPC2	chr2	218216661	218216663	+
cg13240332	ARPC2	chr2	218216955	218216957	+
cg21613754	AAMP,PNKD	chr2	218269123	218269125	-
cg12224394	AAMP,PNKD	chr2	218270064	218270066	+
cg25559243	AAMP,PNKD	chr2	218271078	218271080	+
cg25903497	PNKD,TMBIM1	chr2	218292379	218292381	-
cg14849559	PNKD,TMBIM1	chr2	218292632	218292634	-
cg10498097	CATIP,CATIP-AS2	chr2	218356407	218356409	+
cg27367952	CATIP,CATIP-AS2	chr2	218356862	218356864	+
cg07719512	SLC11A1	chr2	218381852	218381854	-
cg18854666	SLC11A1	chr2	218382331	218382333	-
cg10887392	AC021016.2,CTDSP1	chr2	218399434	218399436	-
cg23889021	AC021016.2,CTDSP1	chr2	218399849	218399851	-
cg01264826	AC021016.2,CTDSP1	chr2	218400521	218400523	+
cg02488871	VIL1	chr2	218423479	218423481	-
cg15248979	CNOT9,USP37	chr2	218569278	218569280	+
cg26354238	CNOT9	chr2	218569889	218569891	+
cg10643489	CNOT9	chr2	218569934	218569936	+
cg25859012	BCS1L,ZNF142	chr2	218659554	218659556	+
cg27170298	BCS1L,ZNF142	chr2	218660063	218660065	+
cg21781546	BCS1L,ZNF142	chr2	218661083	218661085	+
cg04970994	BCS1L,ZNF142	chr2	218661119	218661121	-
cg03270376	RNF25,STK36	chr2	218671864	218671866	-
cg25961684	RNF25,STK36	chr2	218672146	218672148	+
cg04430204	RNF25,STK36	chr2	218673092	218673094	+
cg20851245	RNF25,STK36	chr2	218673488	218673490	-
cg00665395	TTLL4	chr2	218710766	218710768	-
cg18485154	TTLL4	chr2	218711272	218711274	-
cg03460682	CYP27A1	chr2	218781592	218781594	+
cg23081213	PRKAG3	chr2	218831748	218831750	-
cg20398120	PRKAG3	chr2	218831966	218831968	-
cg16256504	WNT6	chr2	218859433	218859435	+
cg22156632	WNT6	chr2	218860345	218860347	-
cg19868691	WNT10A	chr2	218879874	218879876	+
cg05702737	WNT10A	chr2	218880574	218880576	+
cg14831838	AC097468.2,CDK5R2	chr2	218959585	218959587	+
cg01920829	AC097468.2,CDK5R2	chr2	218960038	218960040	-
cg11269533	FEV,LINC00608	chr2	218985578	218985580	+
cg24178740	FEV,LINC00608	chr2	218985742	218985744	+
cg10775273	CRYBA2	chr2	218993204	218993206	-
cg20888386	CRYBA2	chr2	218993537	218993539	+
cg19394737	CFAP65	chr2	219027638	219027640	-
cg13379763	CFAP65	chr2	219027793	219027795	-
cg25908985	IHH	chr2	219060342	219060344	+
cg17178336	IHH	chr2	219060523	219060525	+
cg20972416	AC068946.1,NHEJ1	chr2	219160495	219160497	-
cg04587910	AC068946.1,NHEJ1	chr2	219161021	219161023	-
cg21785260	CNPPD1,RETREG2	chr2	219177373	219177375	-
cg21020082	CNPPD1,RETREG2	chr2	219177404	219177406	-
cg11837864	CNPPD1,RETREG2	chr2	219178798	219178800	+
cg12361925	CNPPD1,RETREG2	chr2	219178807	219178809	-
cg15278948	ZFAND2B	chr2	219206380	219206382	-
cg19355685	ZFAND2B	chr2	219206914	219206916	-
cg23547073	ABCB6,AC068946.2	chr2	219218583	219218585	-
cg00537910	ABCB6,AC068946.2;ATG9A	chr2	219219888	219219890	-
cg03461495	ANKZF1,ATG9A	chr2	219229496	219229498	-
cg10185638	ANKZF1,ATG9A	chr2	219229767	219229769	+
cg02240226	GLB1L,STK16	chr2	219245304	219245306	-
cg10862587	GLB1L,STK16	chr2	219245827	219245829	+
cg01693157	TUBA4A,TUBA4B	chr2	219253550	219253552	-
cg09197965	TUBA4A,TUBA4B	chr2	219254456	219254458	-
cg18797053	DNAJB2,TUBA4A	chr2	219279254	219279256	+
cg14091223	DNAJB2,TUBA4A	chr2	219279603	219279605	+
cg06971096	PTPRN	chr2	219308868	219308870	-
cg10140638	PTPRN	chr2	219309484	219309486	-
cg27321538	AC053503.1,DNPEP	chr2	219387508	219387510	-
cg20853593	AC053503.1,DNPEP	chr2	219388710	219388712	-
cg26259363	DES	chr2	219417558	219417560	+
cg18182399	DES	chr2	219418452	219418454	-
cg16222568	SPEG	chr2	219443348	219443350	-
cg10062065	SPEG	chr2	219444024	219444026	-
cg14569415	AC053503.4,ASIC4-AS1;GMPPA	chr2	219498861	219498863	+
cg17610929	ASIC4,ASIC4-AS1	chr2	219514321	219514323	+
cg19210770	ASIC4,ASIC4-AS1	chr2	219514368	219514370	+
cg04118884	CHPF,TMEM198	chr2	219543276	219543278	+
cg15253243	CHPF,TMEM198	chr2	219544068	219544070	+
cg06552037	INHA,OBSL1	chr2	219571115	219571117	-
cg25928444	INHA,OBSL1	chr2	219572714	219572716	-
cg08274552	AC009955.1,SLC4A3	chr2	219627111	219627113	+
cg06625414	AC009955.1,SLC4A3	chr2	219627969	219627971	-
cg03776464	AC079834.1,EPHA4	chr2	221572226	221572228	-
cg15808558	AC079834.1,EPHA4	chr2	221572890	221572892	+
cg02245378	CCDC140,PAX3	chr2	222297051	222297053	+
cg25596297	CCDC140,PAX3	chr2	222298155	222298157	-
cg13496838	CCDC140,PAX3	chr2	222300027	222300029	-
cg19352038	CCDC140,PAX3	chr2	222300149	222300151	-
cg11300809	SGPP2	chr2	222423917	222423919	-
cg16884042	SGPP2	chr2	222424963	222424965	-
cg24686224	FARSB	chr2	222655691	222655693	+
cg02453591	FARSB	chr2	222656368	222656370	+
cg22111003	ACSL3	chr2	222861012	222861014	+
cg08147886	ACSL3	chr2	222861857	222861859	-
cg09835085	KCNE4	chr2	223051873	223051875	+
cg24940601	KCNE4	chr2	223052233	223052235	-
cg23988310	SCG2	chr2	223602330	223602332	+
cg01668465	SCG2	chr2	223602425	223602427	-
cg12833508	AC093884.1,AP1S3	chr2	223837084	223837086	+
cg17569486	AC093884.1,AP1S3	chr2	223837549	223837551	-
cg19846927	MRPL44	chr2	223957217	223957219	-
cg00382515	MRPL44	chr2	223957511	223957513	+
cg11703011	SERPINE2	chr2	224038743	224038745	+
cg00514407	SERPINE2	chr2	224039908	224039910	+
cg26154999	FAM124B	chr2	224401628	224401630	+
cg24516901	FAM124B	chr2	224402083	224402085	+
cg07310661	CUL3	chr2	224585115	224585117	+
cg09509863	CUL3	chr2	224586141	224586143	-
cg11620807	AC010735.2,IRS1	chr2	226799636	226799638	+
cg10098888	AC010735.2,IRS1	chr2	226801082	226801084	+
cg10523019	RHBDD1	chr2	226835741	226835743	-
cg03091512	RHBDD1	chr2	226836333	226836335	+
cg04324308	COL4A3,COL4A4	chr2	227164024	227164026	-
cg16640096	COL4A3,COL4A4	chr2	227165073	227165075	-
cg19504888	MFF,MFF-DT	chr2	227326589	227326591	+
cg13406768	MFF	chr2	227327699	227327701	-
cg20683151	TM4SF20	chr2	227379255	227379257	+
cg19850163	AGFG1,MIR5703	chr2	227472036	227472038	+
cg22792938	AGFG1	chr2	227472525	227472527	-
cg25713185	SLC19A3	chr2	227717769	227717771	+
cg05844583	SLC19A3	chr2	227718072	227718074	-
cg09425228	CCL20	chr2	227813288	227813290	-
cg21643045	CCL20	chr2	227813976	227813978	-
cg14329157	DAW1,TDGF1P2	chr2	227871418	227871420	+
cg21577049	DAW1,TDGF1P2	chr2	227871732	227871734	-
cg04072323	SPHKAP	chr2	228181608	228181610	+
cg06092815	SPHKAP	chr2	228181689	228181691	+
cg04743872	PID1	chr2	229270860	229270862	-
cg02799466	PID1	chr2	229271694	229271696	+
cg07864632	FBXO36,TRIP12	chr2	229920980	229920982	+
cg11206667	FBXO36,TRIP12	chr2	229921867	229921869	-
cg05670275	FBXO36,TRIP12	chr2	229922562	229922564	+
cg01172899	SLC16A14	chr2	230069034	230069036	-
cg02056135	SP110,SP140	chr2	230219807	230219809	-
cg26614346	SP110,SP140	chr2	230221019	230221021	+
cg17607231	SP110,SP140	chr2	230225613	230225615	+
cg05564251	SP110,SP140	chr2	230225924	230225926	+
cg23539753	SP100	chr2	230415982	230415984	+
cg05091653	SP100	chr2	230416758	230416760	+
cg06874144	CAB39	chr2	230712157	230712159	+
cg21842664	CAB39	chr2	230713751	230713753	+
cg21299958	ITM2C	chr2	230864613	230864615	+
cg26292864	ITM2C	chr2	230865069	230865071	+
cg20287234	AC012507.3,GPR55	chr2	230924749	230924751	+
cg13531460	AC012507.3,GPR55	chr2	230926097	230926099	-
cg03386373	SPATA3,SPATA3-AS1	chr2	230995740	230995742	+
cg13216088	PSMD1	chr2	231056699	231056701	+
cg04383012	PSMD1	chr2	231056977	231056979	+
cg06096336	HTR2B,PSMD1	chr2	231125085	231125087	-
cg03369671	ARMC9	chr2	231198461	231198463	-
cg26089280	ARMC9	chr2	231198896	231198898	-
cg00616369	NCL	chr2	231464384	231464386	+
cg26862286	NCL	chr2	231465595	231465597	+
cg19709058	LINC00471	chr2	231514136	231514138	+
cg10660136	LINC00471	chr2	231514395	231514397	-
cg00143376	NMUR1	chr2	231529990	231529992	+
cg18250832	NMUR1	chr2	231530751	231530753	+
cg19540408	AC104634.1,TEX44	chr2	231591577	231591579	+
cg11784281	AC104634.1,TEX44	chr2	231593073	231593075	+
cg24618716	PTMA	chr2	231708512	231708514	-
cg13921319	PTMA	chr2	231708695	231708697	-
cg05422352	COPS7B,PDE6D	chr2	231786036	231786038	-
cg22932215	COPS7B,PDE6D	chr2	231786924	231786926	-
cg18330611	NPPC	chr2	231925520	231925522	+
cg19969873	NPPC	chr2	231926372	231926374	+
cg13605579	ALPP	chr2	232377619	232377621	-
cg23667432	AC068134.1,ALPP	chr2	232379728	232379730	-
cg00314943	ALPG	chr2	232406039	232406041	+
cg18374517	ALPG	chr2	232406864	232406866	+
cg05423257	ALPI	chr2	232456889	232456891	+
cg25431974	ECEL1	chr2	232488225	232488227	-
cg02932167	ECEL1	chr2	232488240	232488242	+
cg23398241	CHRND	chr2	232526001	232526003	-
cg11695684	CHRND	chr2	232526554	232526556	-
cg01145396	CHRNG	chr2	232538352	232538354	+
cg27382389	CHRNG	chr2	232539623	232539625	+
cg05593479	EIF4E2,TIGD1	chr2	232550295	232550297	+
cg24880821	EIF4E2,MIR5001;TIGD1	chr2	232551193	232551195	+
cg12118465	EFHD1	chr2	232632938	232632940	+
cg09536738	EFHD1	chr2	232633116	232633118	+
cg07230446	GIGYF2	chr2	232697011	232697013	+
cg09138627	GIGYF2	chr2	232697765	232697767	+
cg13982505	GIGYF2,KCNJ13	chr2	232777383	232777385	-
cg21120063	SNORC	chr2	232870199	232870201	-
cg13047596	SNORC	chr2	232870306	232870308	-
cg20059312	AC106876.1,NGEF	chr2	233013146	233013148	-
cg19485804	AC106876.1,NGEF	chr2	233014003	233014005	+
cg20795863	NEU2	chr2	233031408	233031410	+
cg24198840	NEU2	chr2	233032850	233032852	-
cg25697050	INPP5D	chr2	233161499	233161501	+
cg07026910	INPP5D	chr2	233162063	233162065	-
cg04712018	ATG16L1	chr2	233251411	233251413	-
cg13281719	ATG16L1	chr2	233251515	233251517	-
cg00539322	SAG	chr2	233307713	233307715	-
cg08096010	SAG	chr2	233307915	233307917	-
cg25506396	AC013726.1,DGKD	chr2	233354220	233354222	-
cg01230160	DGKD	chr2	233355121	233355123	-
cg18098286	UGT1A10,UGT1A8	chr2	233635624	233635626	-
cg26238727	UGT1A10,UGT1A8	chr2	233636463	233636465	+
cg15559700	UGT1A10,UGT1A8;UGT1A9	chr2	233671226	233671228	+
cg05961827	UGT1A10,UGT1A7;UGT1A8;UGT1A9	chr2	233681163	233681165	+
cg10432859	UGT1A10,UGT1A7;UGT1A8;UGT1A9	chr2	233681943	233681945	+
cg12385643	UGT1A10,UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233691502	233691504	-
cg23338993	UGT1A10,UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233691776	233691778	+
cg23464269	UGT1A10,UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233729020	233729022	-
cg11346450	UGT1A10,UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233729396	233729398	+
cg07823755	UGT1A1,UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233759708	233759710	+
cg11811840	UGT1A1,UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9	chr2	233760519	233760521	-
cg15746445	TRPM8	chr2	233916287	233916289	+
cg19099213	SPP2	chr2	234050070	234050072	+
cg21137417	SPP2	chr2	234050811	234050813	-
cg21650900	ARL4C	chr2	234496477	234496479	+
cg13539030	ARL4C	chr2	234497323	234497325	-
cg14061619	SH3BP4	chr2	234951473	234951475	+
cg15144793	SH3BP4	chr2	234952658	234952660	-
cg24768561	AGAP1	chr2	235493155	235493157	+
cg04856858	AGAP1	chr2	235493370	235493372	-
cg06954481	AC019068.1,GBX2	chr2	236167853	236167855	+
cg23095584	AC019068.1,GBX2	chr2	236169060	236169062	+
cg18694780	ACKR3	chr2	236568715	236568717	+
cg03626672	ACKR3	chr2	236570020	236570022	+
cg19102858	AC012063.1,COPS8	chr2	237085257	237085259	-
cg03275186	AC012063.1,COPS8	chr2	237085417	237085419	-
cg00573606	COL6A3	chr2	237414036	237414038	+
cg08950375	COL6A3	chr2	237414756	237414758	-
cg25895922	MLPH	chr2	237486797	237486799	+
cg16426459	MLPH	chr2	237487511	237487513	+
cg11380128	PRLH	chr2	237565156	237565158	+
cg26427308	PRLH	chr2	237566772	237566774	+
cg02397720	NA	chr2	237603763	237603765	-
cg10173675	NA	chr2	237604704	237604706	+
cg09037813	LRRFIP1	chr2	237691117	237691119	+
cg20732367	LRRFIP1	chr2	237692823	237692825	-
cg27567335	RAMP1	chr2	237859430	237859432	+
cg03270167	RAMP1	chr2	237860272	237860274	+
cg16354207	UBE2F,UBE2F-SCLY	chr2	237966265	237966267	+
cg22418360	UBE2F,UBE2F-SCLY	chr2	237967702	237967704	-
cg16334840	SCLY,UBE2F-SCLY	chr2	238060302	238060304	+
cg14601560	SCLY,UBE2F-SCLY	chr2	238061549	238061551	-
cg09039163	ESPNL	chr2	238100394	238100396	+
cg18931895	ILKAP	chr2	238203572	238203574	+
cg22886005	ILKAP	chr2	238203928	238203930	+
cg15319457	AC012485.1,HES6	chr2	238239490	238239492	-
cg24127874	AC012485.1,HES6	chr2	238241217	238241219	-
cg23905308	AC012485.3,PER2	chr2	238288305	238288307	-
cg05664072	AC012485.3,PER2	chr2	238289652	238289654	+
cg19028160	HDAC4,HDAC4-AS1	chr2	239400315	239400317	+
cg00731459	HDAC4,HDAC4-AS1	chr2	239401396	239401398	+
cg10832945	AC079612.1	chr2	239578184	239578186	-
cg17977362	AC079612.1	chr2	239578554	239578556	-
cg24275354	NDUFA10	chr2	240024997	240024999	-
cg12804976	NA	chr2	240027487	240027489	-
cg08462247	COPS9	chr2	240135784	240135786	+
cg22009489	COPS9	chr2	240136542	240136544	-
cg09222115	OTOS	chr2	240140348	240140350	-
cg18790143	OTOS	chr2	240141046	240141048	-
cg06840226	GPC1	chr2	240436095	240436097	+
cg08321346	AC124862.1,ANKMY1	chr2	240557565	240557567	+
cg27504117	AC124862.1,ANKMY1	chr2	240558245	240558247	-
cg17422427	ANKMY1,RNPEPL1	chr2	240568103	240568105	-
cg00497251	ANKMY1,RNPEPL1	chr2	240569307	240569309	-
cg24767315	CAPN10,CAPN10-DT	chr2	240586393	240586395	+
cg24941797	CAPN10,CAPN10-DT	chr2	240587102	240587104	+
cg13097816	GPR35	chr2	240629021	240629023	+
cg07432969	GPR35	chr2	240630139	240630141	-
cg01447817	AQP12B	chr2	240683914	240683916	+
cg06356454	AQP12A	chr2	240692080	240692082	+
cg14662379	KIF1A	chr2	240819861	240819863	-
cg21321735	KIF1A	chr2	240820746	240820748	+
cg16967583	AGXT	chr2	240868441	240868443	-
cg16358738	AGXT	chr2	240869177	240869179	-
cg11034784	MTERF4	chr2	241102128	241102130	+
cg04884732	MTERF4	chr2	241102600	241102602	-
cg26102760	PASK,PPP1R7	chr2	241149432	241149434	-
cg12054421	PASK,PPP1R7	chr2	241150848	241150850	+
cg08157292	PASK,PPP1R7	chr2	241151204	241151206	-
cg19372178	ANO7	chr2	241187264	241187266	-
cg04415689	ANO7	chr2	241188834	241188836	-
cg23888423	HDLBP,SEPTIN2	chr2	241314754	241314756	+
cg00763679	HDLBP,SEPTIN2	chr2	241314782	241314784	-
cg04898443	HDLBP,SEPTIN2	chr2	241315079	241315081	-
cg14353516	HDLBP,SEPTIN2	chr2	241316637	241316639	-
cg10021735	FARP2	chr2	241356071	241356073	-
cg00567479	FARP2	chr2	241356583	241356585	+
cg14172532	STK25	chr2	241508491	241508493	-
cg21144270	STK25	chr2	241509259	241509261	+
cg00603172	BOK,BOK-AS1	chr2	241558463	241558465	+
cg03600687	BOK,BOK-AS1	chr2	241559596	241559598	+
cg20791593	AC131097.2,NEU4	chr2	241810700	241810702	+
cg00684178	AC131097.2,NEU4	chr2	241810984	241810986	+
cg18096388	PDCD1	chr2	241858820	241858822	-
cg00795812	PDCD1	chr2	241859856	241859858	-
cg16173109	AC093642.3,LINC01237	chr2	242003295	242003297	-
cg13297249	AC093642.3,LINC01237	chr2	242003511	242003513	-
cg11487967	AC093642.1,LINC01237	chr2	242026540	242026542	+
cg05020203	AC093642.1,LINC01237	chr2	242026677	242026679	-
cg01680762	AC093642.2,LINC01881	chr2	242087876	242087878	+
cg00903242	CHL1,CHL1-AS2	chr3	196477	196479	+
cg07664856	CNTN6	chr3	1092843	1092845	-
cg05209917	CNTN6	chr3	1093045	1093047	-
cg11563860	CNTN4	chr3	2100252	2100254	-
cg10503138	CNTN4	chr3	2100706	2100708	-
cg08404225	IL5RA	chr3	3110214	3110216	+
cg10159529	IL5RA	chr3	3110845	3110847	-
cg08819884	IL5RA,TRNT1	chr3	3126540	3126542	-
cg06222120	IL5RA,TRNT1	chr3	3127070	3127072	+
cg11116142	CRBN	chr3	3179659	3179661	+
cg01892727	CRBN	chr3	3180043	3180045	-
cg15384599	AC023483.1,SETMAR;SUMF1	chr3	4303202	4303204	-
cg15232450	AC023483.1,SETMAR;SUMF1	chr3	4303753	4303755	+
cg05843800	SUMF1	chr3	4467190	4467192	-
cg18847227	SUMF1	chr3	4467583	4467585	+
cg21858376	ITPR1,ITPR1-DT	chr3	4493106	4493108	-
cg04251662	ITPR1,ITPR1-DT	chr3	4493390	4493392	+
cg08587820	BHLHE40,BHLHE40-AS1	chr3	4979263	4979265	-
cg03223878	BHLHE40,BHLHE40-AS1	chr3	4979624	4979626	-
cg12097239	ARL8B	chr3	5122083	5122085	-
cg20503117	ARL8B	chr3	5122327	5122329	+
cg16816226	AC026202.2,EDEM1	chr3	5187162	5187164	+
cg23456692	AC026202.2,AC026202.3;EDEM1	chr3	5187910	5187912	+
cg04527363	GRM7	chr3	6860649	6860651	+
cg02332525	GRM7	chr3	6861465	6861467	+
cg20595215	LMCD1,LMCD1-AS1	chr3	8501327	8501329	+
cg08935301	LMCD1,LMCD1-AS1	chr3	8502045	8502047	+
cg22959932	SSUH2	chr3	8652019	8652021	-
cg02100848	SSUH2	chr3	8652172	8652174	+
cg24517042	CAV3,SSUH2	chr3	8732722	8732724	+
cg08365982	CAV3,SSUH2	chr3	8733914	8733916	-
cg23391006	CAV3,OXTR	chr3	8769592	8769594	-
cg25140571	CAV3,OXTR	chr3	8769750	8769752	+
cg04765422	RAD18	chr3	8963088	8963090	-
cg26640549	RAD18	chr3	8963564	8963566	-
cg03438515	SRGAP3,SRGAP3-AS4	chr3	9249527	9249529	+
cg13188385	SRGAP3,SRGAP3-AS4	chr3	9249649	9249651	+
cg25781123	AC026191.1,SRGAP3;THUMPD3;THUMPD3-AS1	chr3	9362913	9362915	+
cg06679221	AC026191.1,SRGAP3;THUMPD3;THUMPD3-AS1	chr3	9363385	9363387	-
cg16191009	AC022382.2,CPNE9	chr3	9703684	9703686	+
cg20051033	AC022382.2,CPNE9	chr3	9704374	9704376	+
cg17738494	BRPF1	chr3	9731566	9731568	-
cg14712964	BRPF1	chr3	9731987	9731989	+
cg15357639	OGG1	chr3	9748758	9748760	+
cg25415932	OGG1	chr3	9749366	9749368	-
cg23243617	CAMK1,OGG1	chr3	9770121	9770123	+
cg14800883	ARPC4,ARPC4-TTLL3;TADA3	chr3	9792319	9792321	+
cg09279263	ARPC4,ARPC4-TTLL3;TADA3	chr3	9793625	9793627	-
cg27345946	ARPC4,ARPC4-TTLL3;TADA3	chr3	9793826	9793828	+
cg03375833	ARPC4-TTLL3,TTLL3	chr3	9817675	9817677	+
cg07614786	ARPC4-TTLL3,TTLL3	chr3	9818646	9818648	-
cg10829427	RPUSD3,TTLL3	chr3	9844090	9844092	+
cg26417554	RPUSD3,TTLL3	chr3	9844547	9844549	-
cg05684195	CIDEC	chr3	9878887	9878889	+
cg03604278	CIDEC	chr3	9880549	9880551	+
cg23459997	JAGN1	chr3	9890741	9890743	+
cg07832674	IL17RE	chr3	9902199	9902201	+
cg15095327	IL17RE	chr3	9902827	9902829	-
cg05845178	IL17RC,IL17RE	chr3	9915846	9915848	-
cg07705835	IL17RC	chr3	9917443	9917445	-
cg12419067	AC018809.3,CRELD1;IL17RC	chr3	9933471	9933473	-
cg08614528	AC018809.1,AC018809.3;CRELD1	chr3	9934332	9934334	+
cg15394409	EMC3,EMC3-AS1	chr3	9986789	9986791	-
cg18215716	EMC3,EMC3-AS1	chr3	9987561	9987563	-
cg24596576	CIDECP1,FANCD2	chr3	10026095	10026097	+
cg02579736	CIDECP1,FANCD2	chr3	10026788	10026790	+
cg05291178	FANCD2OS	chr3	10107781	10107783	+
cg13560548	FANCD2OS	chr3	10108454	10108456	+
cg11827595	BRK1	chr3	10115414	10115416	+
cg00149659	BRK1	chr3	10115667	10115669	+
cg22782492	VHL	chr3	10142322	10142324	+
cg03509024	VHL	chr3	10142328	10142330	+
cg16869108	VHL	chr3	10142634	10142636	-
cg20916523	VHL	chr3	10142899	10142901	+
cg24092914	VHL	chr3	10143192	10143194	-
cg25539131	VHL	chr3	10148256	10148258	-
cg27226214	VHL	chr3	10148604	10148606	-
cg10387416	AC022384.1,TATDN2	chr3	10248801	10248803	-
cg14011734	AC022384.1,TATDN2	chr3	10248989	10248991	+
cg20282199	SEC13	chr3	10321342	10321344	+
cg14547335	ATP2B2	chr3	10449562	10449564	+
cg10500167	ATP2B2	chr3	10450793	10450795	-
cg09395732	SLC6A11	chr3	10815770	10815772	-
cg15284635	SLC6A11	chr3	10816818	10816820	+
cg11021744	SLC6A1	chr3	10992592	10992594	+
cg07043494	HRH1	chr3	11251994	11251996	+
cg14837082	HRH1	chr3	11252917	11252919	+
cg27056145	ATG7	chr3	11297561	11297563	-
cg08509737	ATG7	chr3	11298802	11298804	-
cg23610018	VGLL4	chr3	11719985	11719987	-
